english_sentences,hinglish_sentences
"I land in France at 4 pm in 2 days time , weather report .","mai France mei 2 dino mei 4 pm ko pochunga , weather report ."
Play classic rock,classic rock bajao
How long will it take me to get to Liam ' s house if I leave tonight at 7 pm ?,agar mai aaj raat 7 baje nikal jaoon to mujhe Liam ke ghar pahunchne me kitna samay lagega ?
create a wake up alarm for the morning,Morning ke liye ek wake up alarm create kare
Are there any traffic accidents I should avoid,kya koi traffic accidents hai jiske barey mein mujhe jankari honi chahiye
What time will my timer go off ?,mera timer kitne bajhe band hoga ?
festivals in Jacksonville this weekend,Is weekend Jacksonville me festivals hai
Remind me of my starting time .,mujhe mera shuru hone wala time yaad dilao
set up a reminder to mail a thank you note to sharon,sharon ko thank you note mail karne ke liye ek reminder set karen
Is it going to be above 31 in degrees F outside,Kya aaj bahar 31 degree F ke upar hoga
Can you remind me to write checks for my tax payments on the first of September and January ?,Kya aap muje September aur January ki pehli din mere tax payments ke liye checks likhne ke liye yaad dilasakte he ?
set timer,timer ko set karo
set a timer for every 10 minutes for the next hour,agley ek ghante ke liye har 10 minute ke liye timer set kare
When ' s the next storm,agla toofan kab aaraha hai
What is the quickest route for me to get home,ghar pahuchne ka sabse tez route kya hai
What second is my timer on ?,Mere timer me kitna second on hai ?
What is the forecast for Vancouver ?,Vancouver ka forecast kya hai ?
add radio alarm,radio alarm add karo
Erase the workout timer,workout timer ko erase kare
Skip to the last song,last song tak skip kare
Get me all of my reminders with Sandra .,mujhe mere sabhi reminders sath Sandra ke sath do
On the 20th May I need an alarm set,20th May ko mujhe alarm set karna chahiye
How many rainy days are in this weeks forecast ?,is haftey ke forecast me kitne baarish ke din hai ?
remind me to get milk and eggs after work,mujhe kaam ke baad milk aur eggs laane ke liye yaad dilaye
Set an alarm every 5 minutes for an hour .,ek ghante ke liye har 5 minute mei alarm set kare
Tell me how the weather is,Muje bataiye ki weather kaisa hai
Temperature around San Francisco tomorrow c,Kal San Francisco ke paas c Temperature
alert me 10 min before to turn on the tv for my show at 10 pm,Mujhe 10 pm ko mere show ke liye tv kholne ke liye 10 min pehle alert karen
Disneyland Christmas Parade times and dates,Disneyland me Christmas Parade ke times aur dates
How much time is left on my timer for boiling water ?,boiling water ke liye mere timer par kitna time bakhi hai ?
Let the timer go for another 20 minutes .,timer ko aur 20 minutes ke liye chalne do .
Play the new album by Vic Mensa,Vic Mensa ka naya album bajayen
set alarm for 6 am tomorrow,kal subha 6 baje ke liye alarm set karen
"snooze 10 minutes , thanks",thanks 10 minutes snooze kare
traffic advisory for New York,New York ke liye traffic advisory
Will I need boots today,Kya muje aaj boots ki zarurat padegi
Tell me how long this time has been going,mujhe batao ki is time ne kitne samay se chal raha hai
Remove the alert for weighing myself weekly,weekly myself weighing ka alert hata dein
remind me of yankee game on thursday,mujhe thursday ko yankee game ki yaad dilaen
what ' s at the house of blues,the house of blues me kya hai
Turn the channel,channel ko chalu kare
Is there any construction between here and Tampa,kya Tampa aur yaha ke beech koi construction hai
Set a school pick up alarm for 3 in the afternoon .,dopahar 3 baje ke liye school pick up alarm set kare
play 850 radio,850 radio ko play kare
You set an alarm every Monday at 7 am .,har Monday subah 7 baje alarm set kare
Cancel all reminders for August,August ke sabhi reminders cancel kardo
Set alarm for 6 pm on Sunday,Sunday ko 6 pm ke liye alarm set kare
What is the weather like in France ?,France me mausam kaisa hai ?
delete all of my current timers now,Mere sabhi current timers ko delete kare abhi
Message carol asking for the times of tonight ’ s movie showings,carol ko message karo tonight ' s movie showings ke bare mei pucho
beer and bacon tasting in Goodyear for next month,agle mahine ke liye Goodyear me beer and bacon tasting
I need more timers,mujhe aur timers chahiye
How many alarms are set for today,aj ke liye kitne alarms set hai
cancel that timer,Us timer ko rad kare
Please tell me the forecast for this weekend,Please mujhe is weekend ka forecast bataye
Am I forgetting any of my reminders before the end of the day ?,kya mai din ke end se pehle mere koi bhi reminders bhulraha hoon ?
For 2 weeks alarms must be set everyday for 7 pm and 10 . 30pm,Do hafton ke liye alarms set karna chahiye everyday for 7 pm and 10 . 30pm
Create an alarm at 1 PM,1 PM ko alarm create kare
Pause my run timer,mere timer ko pause kare
Start five minute timer,five minute ka timer shuru karen
Remind me to check in for my flight on Friday at 1 : 30 p . m .,Mujhe Friday ko 1 : 30 p . m ko meri flight ke liye check in karne ke liye yaad dilaye
Send Congratulations message to Bill .,Bill ko Congratulations message bhejo
How bad is the 7 pm traffic on Adamo Rd,Adamo Rd par 7 pm ka traffic kitna kharab hai
I need an reminder to be set up 10 minutes before 3 PM daily .,Mujhe daily 10 minutes pehle 3 PM ka reminder set up chahiye .
Is there a route from my house to Orlando that avoids all toll roads,kya mere ghar se Orlando tak koi raasta hai jo sabhi toll roads ko avoid kar le
Is there an accident on 280 north now,kya abhi 280 north par koi accident hua hai
Don ' t ever play this song again .,ye song ko phirse kabhi play na kare .
When is the traffic the worst in Kansas City,Kansas City mein kis samay sabse kharab traffic ho sakta hai
How many alarms for I have set for today ?,Mene aaj ke liye kitne alarm set kiye he ?
Message to Paul asking him if he is attending this year ' s Alumni dinner .,Paul ko message karo aur pucho ki if he is attending this year ' s Alumni dinner .
"message , Peter my flight has been delayed due to an unexpected weather so , could please book a hotel for tonight ?","Peter ko message karo ki my flight has been delayed due to an unexpected weather so , could please book a hotel for tonight ?"
I want to know the reminders I have for next wednesday,mujhe janna hai ki agle wednesday ke liye mere paas kya reminders hai
Remind me about my interview at 12 pm tomorrow .,mujhe kal dopahar 12 baje meri interview ke baare me yaad dilaye
Set up a reminder to meditate everyday at 5 : 30 am .,Har din 530 am ko meditate karne ke liye reminder set kare
What was the lowest temperature today ?,aaj ka lowest temperature kya tha ?
Cancel my reminder to meet dad for lunch tomorrow at noon .,mere kal dopahar ko dad ko lunch ke liye milne ke reminder ko cancel kare
Remind me to take Mallory to the playgroup that starts on October 15th,Muje October 15th ko Mallory ko playgroup me le jane ke liye remind karaye
create a noon alarm called homework,homework naam ke ek noon alarm ko create karo
pull up today ' s weather,aaj ka mausam dikhao
Change setting on Gym alarm to only vibrate .,Gym alarm par setting ko sirf vibrate karne ke liye badlein .
When should we leave LA to get six flags if we want to be therer by 10 AM ?,Agar humko 10 AM tak six flags milne hai toh LA se kab nikalna chahiye
is traffic heavy today,Kya aaj traffic bhari hai
listen to madonna Pandora,madonna ko Pandora par sunen
Send a reminder to Maura to avoid eating bread today .,Maura ko aaj bread khane se bachne ke liye reminder send kare
Play top hits,top hits bajao
Proceed with the brushteeth timer,brushteeth timer ke sath aage badhen
"I need the weather for Berlin , please .",please mujhe Berlin ka weather chahiye
what ' s the distance between Sacramento and san jose,Sacramento aur san jose ke beech kitna distance hai
message Mario to call me back as soon as possible .,Mario ko message karo ki call me back as soon as possible .
Dayton parties for NYE,Dayton me NYE ke liye parties
What is the traffic like in Atlanta,Atlanta mei traffic kaisa hai
Remind me to make a list on payday of school supplies .,mujhe yaad dilaye to make a list on payday of school supplies
Remind me to rename my calendar to personal calendar in a couple of hours .,mujhe ek ghante me mera calendar personal calendar mein rename karne ke liye yaad dilaayen .
Stop my timer .,Mere timer ko stop kare .
Which route to Niagara Falls will pass the most landmarks ?,Niagara Falls ke liye kaun sa raasta sabse zada landmarks se guzarna hoga ?
Reminder to send invitations out by Friday 3 pm,Friday ko dopahar 3 baje tak invitations bhejne ke liye reminder
How much rain did we get last month,hamare pass pichle mahine kitni baarish hui
Remind me to deposit money into my bank account,mujhe mere bank account me paise deposit karne ke liye yaad dilaye
Are there any lane closures on my route home today,kya aj mere ghar ke raaste par koi lane band hai
What ' s the weather in Oklahoma City today ?,Oklahoma City me aaj weather kaisa hai ?
Set alarm for 7 am tomorrow .,kal subah 7 baje ka alarm set kare .
is it going to rain today,kya aj barish hone wali hai
Show me the weather for Sackville .,mujhe Sackville ke liye weather bataye .
Replay that song,Us song ko reply kare
Will I need an umbrella tomorrow ?,kya mujhe kal umbrella ki zarurat padegi ?
how hot will it be tonight ?,Aaj raa t kitni garmi hone wali he ?
I want to listen to music by the Beatles,mujhe the Beatles ka music sunna hai
You turn back on the timer,timer ko back on kare
Give me a 10 day weather forecast .,mujhe 10 din ka weather forecast do .
Remind me in 20 minutes to turn on skype,mujhe 20 minutes me skype ko on karne ke liye yaad dilaye
alert me in 20 minutes,mujhe 20 minutes me alert kare
Add olive oil and artichokes to my Tuesday shopping reminder,mere Tuesday ke shopping reminder me olive oil aur artichokes ko add karen
how many miles is it from San Francisco to Hawaii,San Francisco se Hawai tak kitne miles hai
Find gospel music,gospel music dhundein
Do I have enough time to get to the post office before it closes if I leave here at 5 pm ?,agar mai 5 pm ko yaha se nikalta hoon toh kya mai post office kab tak pahuch sakta hoon ?
What ' s the remaining time on the alarm ?,mere alarm par kitna samay bacha hai ?
What music festivals are in Los Angeles next year,Los Angeles me next year konse music festivals he
Is there a chance of snow ?,kya snow aane ka koi chance hai ?
How does the weather look like at the beach,beach par mausam kaisa dikhta hai
What are the speeds on main street right now,Abhi main street par speeds kya hai
When will it rain ?,baarish kab hogi ?
Remind me to take the recycling out every Tuesday at 7 am .,Muje every Tuesday subah 7 baje recycling ko bahar nikalne ke liye remind karaye .
Tell me the weather in Korea .,Muje Korea ke mausam ke baarey mei bathao .
Events for young children,young children ke liye events ho rahe he
Play Bruno Mars playlist,Bruno Mars ki playlist bajao
will you fix a timer,kya aap ek timer ko fix karsakte hai
set a timer for 2 minutes,2 minutes ke liye timer set kare
Remind me in 10 minutes .,mujhe 10 minutes me yaad dilao .
let me know the weather at 5 pm,sham 5 bajhe mujhe mausam batao
How is traffic on 280 in - bound to downtown,downtown ke liye 280 in - bound par traffic kaisa hai
Hip hop night,Hip hop night
set an alarm every 12 hours,har 12 hours me alarm set kare
Add 10 minutes to my timer,mere timer me 10 minutes add karo
Should I bring sunscreen with me ?,kya mujhe apne saath sunscreen laana chahiye ?
play a song when the timer goes off,timer band hone par ek song bajao
Please delete my alarm on Saturday,please saturday ko mera alarm delete karden
"I ' m leaving now , how long until I reach Powell Hall ?","mai abhi nikalta hoon , toh mujhe Powell Hall pahuchne mei kitni der lagegi ?"
How much time is on my alarm .,Mere alarm par kitna time he .
how long before the timer goes off,timer kab tak band rahega
text John and ask “ Where are you ? ” .,John ko text karke pucho ki “ Where are you ? ”
